hospital_id,facility_name,status
HOSP-001,Facility 001,ACTIVE
HOSP-002,Facility 002,ACTIVE
HOSP-003,Facility 003,ACTIVE
HOSP-004,Facility 004,ACTIVE
HOSP-005,Facility 005,ACTIVE
HOSP-006,Facility 006,ACTIVE
HOSP-007,Facility 007,ACTIVE
HOSP-008,Facility 008,ACTIVE
HOSP-009,Facility 009,ACTIVE
HOSP-010,Facility 010,ACTIVE
HOSP-011,Facility 011,ACTIVE
HOSP-012,Facility 012,ACTIVE
HOSP-013,Facility 013,ACTIVE
HOSP-014,Facility 014,ACTIVE
HOSP-015,Facility 015,ACTIVE
HOSP-016,Facility 016,ACTIVE
HOSP-017,Facility 017,ACTIVE
HOSP-018,Facility 018,ACTIVE
HOSP-019,Facility 019,ACTIVE
HOSP-020,Facility 020,ACTIVE
HOSP-021,Facility 021,ACTIVE
HOSP-022,Facility 022,ACTIVE
HOSP-023,Facility 023,ACTIVE
HOSP-024,Facility 024,ACTIVE
HOSP-025,Facility 025,ACTIVE
HOSP-026,Facility 026,ACTIVE
HOSP-027,Facility 027,ACTIVE
HOSP-028,Facility 028,ACTIVE
HOSP-029,Facility 029,ACTIVE
HOSP-030,Facility 030,ACTIVE
HOSP-031,Facility 031,ACTIVE
HOSP-032,Facility 032,ACTIVE
HOSP-033,Facility 033,ACTIVE
HOSP-034,Facility 034,ACTIVE
HOSP-035,Facility 035,ACTIVE
HOSP-036,Facility 036,ACTIVE
HOSP-037,Facility 037,ACTIVE
HOSP-038,Facility 038,ACTIVE
HOSP-039,Facility 039,ACTIVE
HOSP-040,Facility 040,ACTIVE
HOSP-041,Facility 041,ACTIVE
HOSP-042,Facility 042,ACTIVE
HOSP-043,Facility 043,ACTIVE
HOSP-044,Facility 044,ACTIVE
HOSP-045,Facility 045,ACTIVE
HOSP-046,Facility 046,ACTIVE
HOSP-047,Facility 047,ACTIVE
HOSP-048,Facility 048,ACTIVE
HOSP-049,Facility 049,ACTIVE
HOSP-050,Facility 050,ACTIVE
HOSP-051,Facility 051,ACTIVE
HOSP-052,Facility 052,ACTIVE
HOSP-053,Facility 053,ACTIVE
HOSP-054,Facility 054,ACTIVE
HOSP-055,Facility 055,ACTIVE
HOSP-056,Facility 056,ACTIVE
HOSP-057,Facility 057,ACTIVE
HOSP-058,Facility 058,ACTIVE
HOSP-059,Facility 059,ACTIVE
HOSP-060,Facility 060,ACTIVE
